title,score,comment,quote,year,country,category,link,cover
肖申克的救赎,9.7,2130025,希望让人自由。,1994,美国,犯罪 剧情,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,1578383,风华绝代。,1993,中国大陆 中国香港,剧情 爱情 同性,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,9.5,1608543,一部美国近现代史。,1994,美国,剧情 爱情,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
这个杀手不太冷,9.4,1795224,怪蜀黍和小萝莉不得不说的故事。,1994,法国 美国,剧情 动作 犯罪,https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
泰坦尼克号,9.4,1561957,失去的才是永恒的。 ,1997,美国,剧情 爱情 灾难,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
美丽人生,9.5,1001933,最美的谎言。,1997,意大利,剧情 喜剧 爱情 战争,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
千与千寻,9.4,1674761,最好的宫崎骏，最好的久石让。 ,2001,日本,剧情 动画 奇幻,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单,9.5,818400,拯救一个人，就是拯救整个世界。,1993,美国,剧情 历史 战争,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
盗梦空间,9.3,1544652,诺兰给了我们一场无法盗取的梦。,2010,美国 英国,剧情 科幻 悬疑 冒险,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg
忠犬八公的故事,9.4,1067545,永远都不能忘记你所爱的人。,2009,美国 英国,剧情,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg
海上钢琴师,9.3,1276892,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998,意大利,剧情 音乐,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
楚门的世界,9.3,1154028,如果再也不能见到你，祝你早安，午安，晚安。,1998,美国,剧情 科幻,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
星际穿越,9.3,1224101,爱是一种力量，让我们超越时空感知它的存在。,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,https://movie.douban.com/subject/1889243/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
三傻大闹宝莱坞,9.2,1422980,英俊版憨豆，高情商版谢耳朵。,2009,印度,剧情 喜剧 爱情 歌舞,https://movie.douban.com/subject/3793023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,9.3,1006277,小瓦力，大人生。,2008,美国,科幻 动画 冒险,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,9.3,989914,天籁一般的童声，是最接近上帝的存在。 ,2004,法国 瑞士 德国,剧情 音乐,https://movie.douban.com/subject/1291549/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
大话西游之大圣娶亲,9.2,1133740,一生所爱。,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,9.3,695382,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,韩国,剧情,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
疯狂动物城,9.2,1362644,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,美国,喜剧 动画 冒险,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
无间道,9.2,922802,香港电影史上永不过时的杰作。,2002,中国香港,剧情 犯罪 悬疑,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
龙猫,9.2,951312,人人心中都有个龙猫，童年就永远不会消失。,1988,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
教父,9.3,694936,千万不要记恨你的对手，这样会让你失去理智。,1972,美国,剧情 犯罪,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
当幸福来敲门,9.1,1146504,平民励志片。 ,2006,美国,剧情 传记 家庭,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
怦然心动,9.1,1330922,真正的幸福是来自内心深处。,2010,美国,剧情 喜剧 爱情,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
触不可及,9.2,741088,满满温情的高雅喜剧。,2011,法国,剧情 喜剧,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
控方证人,9.6,306960,比利·怀德满分作品。,1957,美国,剧情 犯罪 悬疑,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
蝙蝠侠：黑暗骑士,9.2,768734,无尽的黑暗。,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
活着,9.2,598425,张艺谋最好的电影。,1994,中国大陆 中国香港,剧情 历史 家庭,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
